Category,Control Requirement
,"1636.12b2Organizational.1
The organization identifies its critical business processes and integrates the information security management requirements of business continuity with other continuity requirements relating to such aspects as operations, staffing, materials, transport and facilities.
"
,"1637.12b2Organizational.2
Business impact analyses are used to evaluate the consequences of disasters, security failures, loss of service, and service availability.
"
,"1638.12b2Organizational.345
Business continuity risk assessments: (i) are carried out annually with full involvement from owners of business resources and processes; (ii) consider all business processes and is not limited to the information assets, but includes the results specific to information security; and, (iii) identifies, quantifies, and prioritizes risks against key business objectives and criteria relevant to the organization, including critical resources, impacts of disruptions, allowable outage times, and recovery priorities.
"
ID.BE-5:  Resilience requirements to support delivery of critical services are established,"1601.12c1Organizational.1238
The organization can recover and restore business operations and establish an availability of information in the time frame required by the business objectives and without a deterioration of the security measures.
"
,"1602.12c1Organizational.4567
The contingency program addresses required capacity, identifies critical missions and business functions, defines recovery objectives and priorities, and identifies roles and responsibilities.
"
,"1603.12c1Organizational.9
Copies of the business continuity plans are distributed to key contingency personnel.
"
,"1604.12c2Organizational.16789
Alternative storage and processing sites are identified (permanent and/or temporary) at a sufficient distance from the primary facility and configured with security measures equivalent to the primary site, and the necessary third-party service agreements have been established to allow for the resumption of information systems operations of critical business functions within the time period defined (e.g., priority of service provisions) based on a risk assessment, including Recovery Time Objectives (RTO), in accordance with the organization's availability requirements.
"
,"1605.12c2Organizational.2
Emergency power and backup telecommunications are available at the main site.
"
,"1608.12c2Organizational.5
Business continuity plans are stored in a remote location.
"
,"1634.12b1Organizational.1
The organization identifies the critical business processes requiring business continuity.
"
,"1635.12b1Organizational.2
Information security aspects of business continuity are: (i) based on identifying events (or sequence of events) that can cause interruptions to the organization's critical business processes (e.g., equipment failure, human errors, theft, fire, natural disasters acts of terrorism); (ii) followed by a risk assessment to determine the probability and impact of such interruptions, in terms of time, damage scale and recovery period; (iii) based on the results of the risk assessment, a business continuity strategy is developed to identify the overall approach to business continuity; and, (iv) once this strategy has been created, endorsement is provided by management, and a plan created and endorsed to implement this strategy.
"
,"1666.12d1Organizational.1235
The organization creates, at a minimum, one business continuity plan and ensures each plan: (i) has an owner; (ii) describes the approach for continuity, ensuring at a minimum the approach to maintain information or information asset availability and security; and, (iii) specifies the escalation plan and the conditions for its activation, as well as the individuals responsible for executing each component of the plan.
"
,"1669.12d1Organizational.8
The business continuity planning framework addresses a specific, minimal set of information security requirements.
"
ID.GV-1:  Organizational information security policy is established,"0101.00a1Organizational.123
The organization has a formal information protection program based on an accepted industry framework that is reviewed and updated as needed.
"
,"0113.04a1Organizational.123
Information security objectives, approach, scope, importance, goals, and principles for the organization’s security program are formally identified, communicated throughout the organization to users in a form that is relevant, accessible, and understandable to the intended reader; and supported by a controls framework that considers legislative, regulatory, contractual requirements, and other policy-related requirements. 
"
,"0114.04b1Organizational.1
The security policies are regularly reviewed and updated to ensure they reflect leading practices (e.g., for systems and services development and acquisition), and are communicated throughout the organization.
"
,"0115.04b2Organizational.123
The owner of the security policies has management approval and assigned responsibility to develop, review, update (based on specific input), and approve the security policies; and such reviews, updates, and approvals occur no less than annually.
"
,"0118.05a1Organizational.2
Senior management assigns an individual or group to ensure the effectiveness of the information protection program through program oversight; establish and communicate the organization's priorities for organizational mission, objectives, and activities; review and update of the organization's security plan; ensure compliance with the security plan by the workforce; and evaluate and accept security risks on behalf of the organization.
"
,"0121.05a2Organizational.12
The organization's information protection and risk management programs, including the risk assessment process, are formally approved, and are reviewed for effectiveness and updated annually.
"
ID.GV-2:  Information security roles & responsibilities are coordinated and aligned with internal roles and external partners,"0113.04a1Organizational.123
Information security objectives, approach, scope, importance, goals, and principles for the organization’s security program are formally identified, communicated throughout the organization to users in a form that is relevant, accessible, and understandable to the intended reader; and supported by a controls framework that considers legislative, regulatory, contractual requirements, and other policy-related requirements. 
"
,"0118.05a1Organizational.2
Senior management assigns an individual or group to ensure the effectiveness of the information protection program through program oversight; establish and communicate the organization's priorities for organizational mission, objectives, and activities; review and update of the organization's security plan; ensure compliance with the security plan by the workforce; and evaluate and accept security risks on behalf of the organization.
"
,"0119.05a1Organizational.3
Security contacts are appointed by name for each major organizational area or business unit.
"
,"0123.05a2Organizational.4
Security contacts are formally appointed in writing for each major organizational area or business unit.
"
,"1406.05k1Organizational.110
A standard agreement with third-parties is defined and includes the required security controls in accordance with the organization's security policies.
"
,"1429.05k1Organizational.34
The organization maintains written agreements (contracts) that include: (i) an acknowledgement that the third-party (e.g., a service provider) is responsible for the security of the data and requirements to address the associated information security risks; and, (ii) requirements to address the information security risks associated with information and communications technology services (e.g., cloud computing services) and product supply chain.
"
,"1430.05k1Organizational.56
The agreement ensures that there is no misunderstanding between the organization and the third-party and satisfies the organization as to the indemnity of the third-party.
"
,"1431.05k1Organizational.7
The organization establishes personnel security requirements, including security roles and responsibilities, for third-party providers that are coordinated and aligned with internal security roles and responsibilities.
"
,"1432.05k1Organizational.89
The organization ensures a screening process is carried out for contractors and third-party users, and, where contractors are provided through an organization, the contract with the organization clearly specifies (i) the organization's responsibilities for screening and the notification procedures they need to follow if screening has not been completed, or if the results give cause for doubt or concern; and, (ii) all responsibilities and notification procedures for screening.
"
"ID.GV-3:  Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed","0104.02a1Organizational.12
User security roles and responsibilities are clearly defined and communicated.
"
,"0113.04a1Organizational.123
Information security objectives, approach, scope, importance, goals, and principles for the organization’s security program are formally identified, communicated throughout the organization to users in a form that is relevant, accessible, and understandable to the intended reader; and supported by a controls framework that considers legislative, regulatory, contractual requirements, and other policy-related requirements. 
"
,"0114.04b1Organizational.1
The security policies are regularly reviewed and updated to ensure they reflect leading practices (e.g., for systems and services development and acquisition), and are communicated throughout the organization.
"
,"0115.04b2Organizational.123
The owner of the security policies has management approval and assigned responsibility to develop, review, update (based on specific input), and approve the security policies; and such reviews, updates, and approvals occur no less than annually.
"
,"0120.05a1Organizational.4
Capital planning and investment requests include the resources needed to implement the security program, employ a business case (or Exhibit 300 and/or 53 for federal government); and the organization ensures the resources are available for expenditure as planned.
"
,"0137.02a1Organizational.3
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance requirements for its human resources security protection program (e.g., through policy, standards, guidelines, and procedures).
"
,"0888.09n2Organizational.6
The contract with the external/outsourced service provider includes the specification that the service provider is responsible for the protection of covered information shared.
"
,"0904.10f2Organizational.1
Key management is implemented based on specific roles and responsibilities, and in consideration of national and international regulations, restrictions, and issues.
"
,"0925.09v1Organizational.1
Legal considerations, including requirements for electronic signatures, are addressed.
"
,"0942.09x2Organizational.5
Cryptographic controls are used to enhance security, taking into account compliance with legal requirements.
"
,"1138.06e2Organizational.12
Computer login banners are displayed outlining the terms and conditions of access and are accepted before access is granted.
"
,"1212.09ab1System.1
All applicable legal requirements related to monitoring authorized access and unauthorized access attempts are met.
"
,"1301.02e1Organizational.12
Employees and contractors receive documented initial (as part of their onboarding within 60 days of hire), annual, and ongoing training on their roles related to security and privacy.
"
,"1401.05i1Organizational.1239
Access to the organization’s information and systems by external parties is not permitted until due diligence has been conducted, the appropriate controls have been implemented, and a contract/agreement reflecting the security requirements is signed acknowledging they understand and accept their obligations.
"
,"1418.05i1Organizational.8
The identification of risks related to external party access takes into account a minimal set of specifically defined issues.
"
,"1513.11a2Organizational.9
The organization adheres to the HITECH Act requirements for responding to a data breach (of covered information) and reporting the breach to affected individuals, media, and federal agencies.
"
,"1901.06d1Organizational.1
The organization has formally appointed a qualified data protection officer, reporting to senior management, and who is directly and fully responsible for the privacy of covered information.
"
,"1902.06d1Organizational.2
When required, consent is obtained before any PII (e.g., about a client/customer) is emailed, faxed, or communicated by telephone conversation, or otherwise disclosed to parties external to the organization.
"
,"1903.06d1Organizational.3456711
The confidentiality and integrity of covered information at rest is protected using an encryption method appropriate to the medium where it is stored; where the organization chooses not to encrypt covered information, a documented rationale for not doing so is maintained or alternative compensating controls are used if the method is approved and reviewed annually by the CISO.
"
,"1904.06d2Organizational.1
Covered information is retained only for as long as required.
"
,"1905.06cHIPAAOrganizational.6
If retained, the organization ensures individually identifiable information is safeguarded for a period of 50 years following the date of death of the individual.
"
,"1906.06c1Organizational.2
The organization documents compliance with the notice requirements by retaining copies of the notices issued by the organization for a period of six years and, if applicable, any written acknowledgements of receipt of the notice or documentation of good faith efforts to obtain such written acknowledgement.
"
,"1907.06c1Organizational.3
The organization documents restrictions in writing and formally maintains such writing, or an electronic copy of such writing, as an organizational record for a period of six years.
"
,"1908.06c1Organizational.4
The organization documents and maintains (i) designated record sets that are subject to access by individuals, and (ii) titles of the persons or office responsible for receiving and processing requests for access by individuals as organizational records for a period of six years.
"
,"1909.06c1Organizational.5
The organization documents and maintains accountings of disclosure as organizational records for a period of six years, including the information required for disclosure, the written accounting provided to the individual, and the titles of the persons or offices responsible for receiving and processing requests for an accounting.
"
,"1911.06d1Organizational.13
Records with sensitive personal information are protected during transfer to organizations lawfully collecting such information.
"
,"19140.06c1Organizational.1
The organization's formal policies and procedures, other critical records and disclosures of individuals' protected health information made are retained for a minimum of six years; and, for electronic health records, the organization retains records of disclosures to carry out treatment, payment and health care operations for a minimum of three years.
"
,"19142.06c1Organizational.8
Guidelines are issued by the organization on the ownership, classification, retention, storage, handling and disposal of all records and information.
"
,"19143.06c1Organizational.9
Designated senior management within the organization reviews and approves the security categorizations and associated guidelines.
"
,"19144.06c2Organizational.1
The organization has established a formal records document retention program.
"
ID.GV-4:  Governance and risk management processes address cybersecurity risks,"0101.00a1Organizational.123
The organization has a formal information protection program based on an accepted industry framework that is reviewed and updated as needed.
"
,"0102.00a2Organizational.123
The information protection program is formally documented and actively monitored, reviewed, and updated to ensure program objectives continue to be met.
"
,"0113.04a1Organizational.123
Information security objectives, approach, scope, importance, goals, and principles for the organization’s security program are formally identified, communicated throughout the organization to users in a form that is relevant, accessible, and understandable to the intended reader; and supported by a controls framework that considers legislative, regulatory, contractual requirements, and other policy-related requirements. 
"
,"0121.05a2Organizational.12
The organization's information protection and risk management programs, including the risk assessment process, are formally approved, and are reviewed for effectiveness and updated annually.
"
,"0162.04b1Organizational.2
The organization ensures individuals may make complaints concerning the information security policies, procedures, or the organization's compliance with its policies and procedures; documents the complaints and requests for changes; and records their disposition, if applicable.
"
,"0177.05h1Organizational.12
An independent review of the organization's information security management program is initiated by management to ensure the continuing suitability, adequacy, and effectiveness of the organization's approach to managing information security.
"
,"0178.05h1Organizational.3
The results of independent security program reviews are recorded and reported to the management official/office initiating the review; and the results are maintained for a predetermined period of time as determined by the organization, but not less than three years.
"
,"0179.05h1Organizational.4
If an independent review identifies that the organization's approach and implementation to managing information security is inadequate or not compliant with the direction for information security stated in the information security policy document, management takes corrective actions.
"
,"0180.05h2Organizational.1
An independent review of the information security management program and information security controls is conducted at least annually or whenever there is a material change to the business practices that may implicate the security or integrity of records containing personal information.
"
,"0817.01w2System.123
Unless the risk is identified and accepted by the data owner, sensitive systems are isolated (physically or logically) from non-sensitive applications/systems.
"
,"1704.03b1Organizational.12
The organization performs risk assessments in a consistent way and at planned intervals, or when there are major changes to the organization's environment, and reviews the risk assessment results annually.
"
,"1705.03b2Organizational.12
The organization updates the results of a formal, comprehensive risk assessment every two years; as well, when there is a significant change to the information system or operational environment, assesses a subset of the security controls within every 365 days during continuous monitoring, and reviews the risk assessment results annually.
"
,"1706.03bHIPAAOrganizational.3
Risk assessments include the evaluation of multiple factors that may impact security as well as the likelihood and impact from a loss of confidentiality, integrity and availability of information and systems.
"
,"1734.03d2Organizational.1
The risk management process is integrated with the change management process within the organization.
"
,"1735.03d2Organizational.23
Risk assessments are conducted whenever there is a significant change in the environment, or a change that could have a significant impact, and the results of the assessments are included in the change management process, so they may guide the decisions within the change management process (e.g., approvals for changes).
"
,"1736.03d2Organizational.4
The organization updates the risk assessment before issuing a new formal authorization to operate or within every three years, whichever comes first, or when conditions occur that may impact the security or authorization state of the system.
"
,"1737.03d2Organizational.5
The privacy, security and risk management program(s) is/are updated to reflect changes in risks.
"
,"19142.06c1Organizational.8
Guidelines are issued by the organization on the ownership, classification, retention, storage, handling and disposal of all records and information.
"
ID.RA-1:  Asset vulnerabilities are identified and documented,"0613.06h1Organizational.12
The organization performs annual checks on the technical security configuration of systems, either manually by an individual with experience with the systems and/or with the assistance of automated software tools, and takes appropriate action if non-compliance is found.
"
,"0709.10m1Organizational.1
Technical vulnerabilities are identified, evaluated for risk, and corrected in a timely manner.
"
,"0712.10m2Organizational.4
Internal and external vulnerability assessments of covered information systems, virtualized environments, and networked environments, including both network- and application-layer tests, are performed by a qualified individual on a quarterly basis or after significant changes.
"
,"1218.09ab3System.47
Automated systems support near real-time analysis and alerting of events (e.g., malicious code, potential intrusions) and integrate intrusion detection into access and flow control mechanisms.
"
,"1220.09ab3System.56
Monitoring includes inbound and outbound communications and file integrity monitoring.
"
,"1635.12b1Organizational.2
Information security aspects of business continuity are: (i) based on identifying events (or sequence of events) that can cause interruptions to the organization's critical business processes (e.g., equipment failure, human errors, theft, fire, natural disasters acts of terrorism); (ii) followed by a risk assessment to determine the probability and impact of such interruptions, in terms of time, damage scale and recovery period; (iii) based on the results of the risk assessment, a business continuity strategy is developed to identify the overall approach to business continuity; and, (iv) once this strategy has been created, endorsement is provided by management, and a plan created and endorsed to implement this strategy.
"
,"1704.03b1Organizational.12
The organization performs risk assessments in a consistent way and at planned intervals, or when there are major changes to the organization's environment, and reviews the risk assessment results annually.
"
,"1705.03b2Organizational.12
The organization updates the results of a formal, comprehensive risk assessment every two years; as well, when there is a significant change to the information system or operational environment, assesses a subset of the security controls within every 365 days during continuous monitoring, and reviews the risk assessment results annually.
"
,"1733.03d1Organizational.1
The risk management program includes the requirement that risk assessments be re-evaluated at least annually, or when there are significant changes in the environment.
"
